round,difficulty,accuracy,reaction_time,attempts,timestamp
1,0.5,0.0,16.07829523086548,1,2025-04-15 13:57:42.403188
2,0.1,0.0,17.07158398628235,1,2025-04-15 13:58:00.995801
3,0.1,0.0,17.064502239227295,1,2025-04-15 13:58:19.582056
4,0.1,0.0,17.053393840789795,1,2025-04-15 13:58:38.157560
5,0.1,0.0,17.065727949142456,1,2025-04-15 13:58:56.740538
6,0.1,0.0,17.067216873168945,1,2025-04-15 13:59:15.325943
7,0.1,0.0,18.068660974502563,1,2025-04-15 13:59:34.916333
8,0.1,0.0,17.07094693183899,1,2025-04-15 13:59:53.501125
9,0.1,0.0,17.081732034683228,1,2025-04-15 14:00:12.094628
10,0.1,0.0,19.074418306350708,1,2025-04-15 14:00:32.686221
